thread_number,1e6_ops
1,739227.913554
2,1605346.999888
3,2401681.874761
4,2935319.360237
5,4068414.987182
6,4971698.234920
7,5925817.206933
8,6903002.175012
9,7759569.731858
10,8767231.895660
11,9734147.675255
12,10661466.372967
13,11591510.980117
14,12443952.283366
15,13540447.659657
16,14752616.037144
17,15517727.646034
18,16585312.117247
19,17717900.408957
20,18054702.571163
21,18769929.911580
22,19346176.989390
23,21197115.131982
24,21543740.417748
25,23077654.461049
26,23536558.017521
27,23987151.522159
28,25057554.697384
29,25592888.043527
30,27080783.113420
31,27419438.467997
32,30266029.623240
33,31319919.763377
34,30875713.981589
35,31775069.115542
36,34703808.718714
37,35271985.098856
38,35402087.349553
39,34795056.248818
40,21643034.889373
